epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.779,2.09344,4.19173,1.95483,0.34755,0.24991,0.20543,0.08869,1.97484,2.81956,1.95826,0.00332594,0.00332594,0.0700665
2,196.46,1.94319,2.91762,1.81747,0.23567,0.32306,0.20685,0.08117,2.12889,3.21642,2.11555,0.0065494,0.0065494,0.0399566
3,279.571,1.98906,2.68384,1.83661,0.261,0.31967,0.22388,0.08487,2.16961,2.68279,2.09491,0.00966285,0.00966285,0.00973676
4,362.314,2.02817,2.60274,1.86838,0.26992,0.25799,0.16512,0.06182,2.3143,3.2338,2.3111,0.009505,0.009505,0.009505
5,445.071,1.94786,2.41749,1.81114,0.43128,0.389,0.3462,0.13279,2.04237,2.39604,1.98223,0.00934,0.00934,0.00934
6,527.099,1.89942,2.30505,1.77337,0.45396,0.43164,0.41713,0.18933,1.86182,2.15911,1.81806,0.009175,0.009175,0.009175
7,609.542,1.85482,2.19089,1.72716,0.44754,0.42444,0.39379,0.17553,1.895,2.23445,1.90678,0.00901,0.00901,0.00901
8,691.6,1.83015,2.13183,1.70893,0.46742,0.52995,0.48025,0.21742,1.85617,2.00198,1.7527,0.008845,0.008845,0.008845
9,773.687,1.79568,2.04888,1.67637,0.55336,0.46207,0.48224,0.22995,1.8191,2.02568,1.76655,0.00868,0.00868,0.00868
10,856.094,1.76482,1.97971,1.64528,0.58731,0.51772,0.5507,0.25711,1.79026,1.93139,1.72191,0.008515,0.008515,0.008515
11,938.545,1.77226,1.97001,1.64335,0.54402,0.4639,0.45746,0.21954,1.85737,2.19103,1.8061,0.00835,0.00835,0.00835
12,1020.98,1.74106,1.90474,1.62484,0.55776,0.5663,0.57416,0.28639,1.74054,1.82893,1.69891,0.008185,0.008185,0.008185
13,1103.16,1.72207,1.8652,1.6051,0.63276,0.55148,0.59785,0.29118,1.72809,1.76389,1.68507,0.00802,0.00802,0.00802
14,1185.58,1.71651,1.82561,1.5946,0.57391,0.52892,0.53539,0.25641,1.82289,1.90691,1.73961,0.007855,0.007855,0.007855
15,1267.89,1.68911,1.76433,1.58091,0.6694,0.53927,0.61897,0.3053,1.71875,1.72785,1.66757,0.00769,0.00769,0.00769
16,1350.27,1.68087,1.74495,1.56948,0.66774,0.58556,0.63576,0.31753,1.72186,1.6426,1.64596,0.007525,0.007525,0.007525
17,1432.77,1.66953,1.71433,1.55591,0.6106,0.58551,0.59941,0.29545,1.76602,1.65981,1.66386,0.00736,0.00736,0.00736
18,1515.36,1.6596,1.68547,1.55039,0.60972,0.60754,0.61655,0.31248,1.74561,1.6586,1.66708,0.007195,0.007195,0.007195
19,1597.66,1.65142,1.67593,1.5416,0.67111,0.59853,0.62674,0.31219,1.75817,1.62673,1.66493,0.00703,0.00703,0.00703
20,1679.88,1.63832,1.64803,1.52676,0.65831,0.58297,0.63532,0.3168,1.71018,1.63438,1.64636,0.006865,0.006865,0.006865
21,1762.41,1.62853,1.62494,1.51407,0.63752,0.57488,0.60673,0.31096,1.7189,1.66703,1.63968,0.0067,0.0067,0.0067
22,1844.85,1.61931,1.58056,1.51211,0.68479,0.61067,0.66124,0.33899,1.70975,1.52642,1.62592,0.006535,0.006535,0.006535
23,1927.03,1.59515,1.55996,1.49125,0.68493,0.61317,0.67245,0.34496,1.69479,1.54096,1.59949,0.00637,0.00637,0.00637
24,2009.33,1.59309,1.53793,1.48307,0.61807,0.62561,0.64542,0.33207,1.72858,1.54985,1.6464,0.006205,0.006205,0.006205
25,2091.55,1.58129,1.51514,1.48907,0.65705,0.64009,0.67311,0.35203,1.66261,1.52984,1.58617,0.00604,0.00604,0.00604
26,2174.03,1.56632,1.50568,1.46282,0.65312,0.60592,0.66504,0.34069,1.70914,1.48847,1.61044,0.005875,0.005875,0.005875
27,2256.35,1.57453,1.49741,1.47507,0.68928,0.62483,0.68524,0.35065,1.68745,1.46107,1.5948,0.00571,0.00571,0.00571
28,2338.61,1.55739,1.46189,1.46246,0.70986,0.64308,0.703,0.35669,1.69478,1.42473,1.59387,0.005545,0.005545,0.005545
29,2421.1,1.53937,1.42247,1.44208,0.70973,0.63142,0.68235,0.3441,1.71517,1.44537,1.6127,0.00538,0.00538,0.00538
30,2503.7,1.52778,1.41734,1.44261,0.68121,0.66551,0.69473,0.35964,1.67753,1.41804,1.59418,0.005215,0.005215,0.005215
31,2586.61,1.52964,1.4154,1.43829,0.69253,0.6596,0.69065,0.35223,1.70577,1.39992,1.58135,0.00505,0.00505,0.00505
32,2669.26,1.51623,1.37759,1.42933,0.68889,0.66768,0.70733,0.37769,1.66084,1.40055,1.58788,0.004885,0.004885,0.004885
33,2751.92,1.50183,1.36396,1.41588,0.72723,0.67703,0.72283,0.38543,1.64629,1.33077,1.54905,0.00472,0.00472,0.00472
34,2834.84,1.49319,1.34428,1.4112,0.67926,0.66719,0.70391,0.36143,1.67851,1.37838,1.57755,0.004555,0.004555,0.004555
35,2917.65,1.48973,1.32947,1.40398,0.73881,0.6635,0.72542,0.37446,1.66527,1.34809,1.55391,0.00439,0.00439,0.00439
36,3000.57,1.49656,1.31141,1.40398,0.70414,0.69676,0.73144,0.38789,1.64066,1.29231,1.53759,0.004225,0.004225,0.004225
37,3083.18,1.47253,1.29876,1.39421,0.71355,0.67027,0.7243,0.38174,1.68475,1.30658,1.58441,0.00406,0.00406,0.00406
38,3166.36,1.45604,1.26631,1.38398,0.71147,0.68362,0.72385,0.38014,1.67427,1.31932,1.56903,0.003895,0.003895,0.003895
39,3249.21,1.46288,1.27416,1.38034,0.7083,0.6878,0.72425,0.38648,1.66007,1.29697,1.54396,0.00373,0.00373,0.00373
40,3332.01,1.44444,1.23101,1.36994,0.7277,0.64785,0.72141,0.3757,1.68525,1.31972,1.57602,0.003565,0.003565,0.003565
41,3414.73,1.41994,1.21755,1.35479,0.72708,0.66381,0.72346,0.38053,1.65288,1.29233,1.55736,0.0034,0.0034,0.0034
42,3497.78,1.42604,1.21245,1.35314,0.70311,0.66972,0.72744,0.38617,1.67063,1.28754,1.57099,0.003235,0.003235,0.003235
