epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,161.278,2.05998,4.06543,1.90606,0.27125,0.25182,0.15656,0.0655,2.10027,2.96063,2.05732,0.00997783,0.00332594,0.00997783,0.00332594,0.00997783,0.00332594,0.00997783,0.00332594
2,274.566,1.92081,2.82932,1.74372,0.30006,0.34246,0.2553,0.10191,2.03874,2.60219,1.8996,0.01978,0.00659335,0.01978,0.00659335,0.01978,0.00659335,0.01978,0.00659335
3,377.575,1.99233,2.57024,1.80381,0.2655,0.40396,0.26137,0.10496,2.07297,3.29129,1.9837,0.0293843,0.00979476,0.0293843,0.00979476,0.0293843,0.00979476,0.0293843,0.00979476
4,477.678,2.03382,2.51828,1.8517,0.41173,0.26642,0.19156,0.07769,2.1599,3.19246,2.05136,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,577.761,1.94774,2.35306,1.79746,0.36861,0.45459,0.37738,0.15859,1.92997,2.43514,1.85947,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,677.475,1.89899,2.24539,1.75685,0.44074,0.43528,0.39507,0.18267,1.92352,2.26873,1.84352,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,777.527,1.85324,2.13348,1.71574,0.41844,0.4638,0.39801,0.18505,1.89652,2.22753,1.87384,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,877.897,1.83499,2.07526,1.70504,0.49338,0.50242,0.48123,0.22138,1.84283,1.99789,1.73598,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,979.326,1.79849,2.00439,1.67199,0.52417,0.50048,0.49269,0.2311,1.84935,1.96284,1.79583,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1080.37,1.76838,1.95305,1.64537,0.54982,0.54976,0.53053,0.24675,1.79979,1.92934,1.74743,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1182.87,1.76819,1.9078,1.63538,0.55547,0.49168,0.52211,0.25429,1.7821,1.91757,1.69128,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1285.84,1.73956,1.86327,1.62017,0.49345,0.54735,0.52208,0.25715,1.79267,1.83354,1.74315,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1388.45,1.71722,1.83046,1.59713,0.5522,0.5126,0.52388,0.25305,1.84415,1.93453,1.78185,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1488.57,1.70919,1.77394,1.57705,0.63459,0.58848,0.61739,0.30565,1.75634,1.67215,1.65776,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1588.91,1.67692,1.72591,1.56139,0.61271,0.59053,0.59752,0.29346,1.7277,1.71891,1.65351,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1689.72,1.67784,1.71002,1.55461,0.61431,0.61083,0.62761,0.31717,1.72433,1.61653,1.62927,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1790.33,1.65626,1.6723,1.54182,0.55333,0.43869,0.46538,0.2212,1.9746,2.08069,1.8398,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1890.52,1.65143,1.6575,1.52754,0.66614,0.60134,0.63669,0.32751,1.7459,1.54181,1.62796,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1990.66,1.64341,1.64166,1.51513,0.64981,0.61448,0.63875,0.31835,1.76833,1.56338,1.63968,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2090.87,1.63929,1.62204,1.52372,0.63331,0.63026,0.64485,0.32727,1.71855,1.58176,1.65114,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2191.03,1.62898,1.58599,1.51176,0.65699,0.60654,0.64713,0.33435,1.71306,1.50585,1.615,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2291.01,1.61963,1.55687,1.50512,0.65951,0.63989,0.66781,0.34429,1.71767,1.47185,1.62613,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2390.98,1.59612,1.53255,1.49164,0.68304,0.61544,0.66245,0.32827,1.73091,1.48845,1.63073,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2491.13,1.59205,1.50751,1.47891,0.65932,0.59506,0.65361,0.3376,1.70552,1.53118,1.61508,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2591.36,1.58134,1.48644,1.47519,0.67593,0.58208,0.63752,0.32213,1.78759,1.603,1.63377,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2692.02,1.57403,1.47125,1.46358,0.64344,0.54676,0.61115,0.30703,1.75546,1.63273,1.6336,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2792.58,1.5622,1.46879,1.45967,0.67181,0.60081,0.64943,0.33405,1.73162,1.54973,1.62954,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2892.88,1.55849,1.43463,1.44784,0.632,0.65926,0.66838,0.33391,1.74477,1.46878,1.6485,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2993.82,1.54148,1.4124,1.43733,0.6643,0.64811,0.66401,0.34151,1.75475,1.46199,1.62547,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3094.14,1.5377,1.40272,1.43356,0.69159,0.60816,0.68801,0.35044,1.73142,1.44102,1.62239,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
