epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,lr/pg0,lr/pg1,lr/pg2
1,139.409,2.09344,4.19173,1.95483,0.98408,0.34755,0.24991,0.20543,0.08869,1.97484,2.81956,1.95826,0,0.00332594,0.00332594,0.0700665
2,252.825,1.93801,2.8889,1.81651,0.98595,0.24738,0.35106,0.2147,0.08444,2.09894,4.64304,2.18132,0,0.0065494,0.0065494,0.0399566
3,366.082,1.99361,2.66478,1.82443,0.98706,0.26084,0.27944,0.20066,0.07369,2.41025,2.79074,2.22969,0,0.00966285,0.00966285,0.00973676
4,479.191,2.02562,2.62286,1.84692,0.98756,0.28069,0.3758,0.23981,0.09286,2.0717,2.69987,1.97658,0,0.009505,0.009505,0.009505
5,591.96,1.95568,2.4433,1.81093,0.98776,0.37753,0.37428,0.31492,0.13624,2.05818,2.57858,2.00465,0,0.00934,0.00934,0.00934
6,705.144,1.90809,2.30688,1.7746,0.98826,0.38152,0.42281,0.34176,0.14647,1.98333,2.30271,1.95295,0,0.009175,0.009175,0.009175
7,818.205,1.86235,2.20332,1.72398,0.98835,0.41857,0.40185,0.37444,0.17219,1.96155,2.29354,1.91979,0,0.00901,0.00901,0.00901
8,931.355,1.83625,2.13543,1.71461,0.98924,0.51795,0.49117,0.48673,0.22164,1.80284,1.99465,1.74421,0,0.008845,0.008845,0.008845
9,1044.47,1.80226,2.06431,1.6854,0.98849,0.45658,0.51851,0.47356,0.2187,1.8233,1.96867,1.75682,0,0.00868,0.00868,0.00868
10,1157.46,1.76717,1.99417,1.65395,0.98898,0.54664,0.50294,0.51096,0.24151,1.79872,1.92114,1.74346,0,0.008515,0.008515,0.008515
11,1270.88,1.77021,1.96773,1.64906,0.98878,0.581,0.54309,0.56423,0.27534,1.74747,1.81497,1.70539,0,0.00835,0.00835,0.00835
